modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
10463,2020-01,1522,334,195,393,42,15,1,0,0,4,13,0,9,93,393,195,26,13,260,17,18,9,17,37,44,23,26,31,1,611,664,106,109
10464,2020-01,141,6,22,1,3,2,0,0,0,1,17,0,12,6,1,22,0,2,2,1,1,0,0,11,18,0,8,3,0,50,24,26,38
10465,2020-01,1059,95,175,21,23,4,1,0,0,3,82,0,83,71,21,175,3,1,84,5,2,1,1,177,63,2,19,10,1,435,131,309,173
10466,2020-01,1531,241,73,318,80,11,0,0,0,1,40,0,36,178,318,73,1,0,229,3,8,10,17,100,63,24,6,21,0,546,546,290,128
10467,2020-01,2627,496,107,796,113,27,13,0,2,12,37,0,6,166,796,107,11,4,447,19,14,27,56,54,42,79,12,64,13,789,1454,165,142
10468,2020-01,2088,442,93,795,129,36,7,0,0,9,14,0,4,62,795,93,6,26,357,27,24,41,41,14,39,96,8,64,7,618,1214,92,93
10469,2020-01,1432,159,104,196,70,13,1,0,0,2,86,0,68,131,196,104,6,0,118,11,24,10,14,138,49,18,14,27,1,469,381,359,195
10470,2020-01,398,46,40,76,19,3,2,0,0,0,2,0,12,48,76,40,3,0,42,1,0,4,7,28,16,7,2,3,2,147,145,76,25
10471,2020-01,560,196,51,56,14,3,0,0,0,1,7,0,19,13,56,51,5,0,187,0,4,2,1,28,52,4,10,7,0,285,127,70,71
10472,2020-01,1476,355,71,326,65,15,5,0,0,5,21,0,6,141,326,71,9,62,218,47,19,12,22,47,44,41,13,31,5,603,619,136,82
10473,2020-01,1061,132,98,255,44,4,0,0,0,1,50,0,27,83,255,98,12,0,103,7,10,3,16,54,44,32,6,12,0,345,441,153,110
10474,2020-01,413,44,16,52,31,6,0,0,0,1,45,0,2,24,52,16,1,3,27,10,3,5,15,5,30,12,6,12,0,92,152,74,83
10475,2020-01,247,29,40,5,12,0,0,0,0,1,28,0,7,11,5,40,2,0,24,1,2,2,3,4,26,8,5,4,0,89,44,31,79
11001,2020-01,80,3,16,0,1,1,0,0,0,0,0,0,4,6,0,16,1,1,0,0,1,0,0,23,1,1,1,1,0,28,10,36,5
11004,2020-01,162,2,20,0,6,0,0,0,0,1,22,0,10,4,0,20,0,0,1,0,1,0,0,31,8,0,4,4,0,37,30,53,38
11040,2020-01,35,7,2,0,1,1,0,0,0,0,1,0,1,8,0,2,0,7,0,0,0,0,0,5,0,1,0,1,0,18,4,10,2
11101,2020-01,1538,303,329,60,31,8,7,0,3,11,19,0,28,91,60,329,103,15,171,9,5,3,2,58,99,3,59,46,7,677,397,159,252
11102,2020-01,773,215,76,51,17,5,2,0,1,4,5,0,6,76,51,76,84,49,63,10,8,2,5,104,24,8,9,16,2,295,252,161,47
11103,2020-01,1099,229,112,73,24,2,4,0,0,11,10,0,54,131,73,112,32,84,91,10,12,7,9,141,22,5,14,22,4,511,239,233,90
11104,2020-01,620,100,66,112,24,7,1,0,1,4,17,0,1,42,112,66,30,3,60,3,4,3,6,49,9,12,4,19,1,198,252,83,67
11105,2020-01,873,150,105,45,26,11,3,0,3,3,14,0,9,76,45,105,21,28,78,6,17,2,1,142,18,4,25,20,3,328,199,237,86
11106,2020-01,832,175,72,103,23,3,2,0,1,6,10,0,13,52,103,72,14,15,132,9,5,1,4,93,31,5,21,18,2,305,245,180,82
11109,2020-01,22,6,2,0,1,1,0,0,0,2,1,0,0,2,0,2,0,0,3,1,2,0,0,2,0,0,0,3,0,10,5,3,1
11201,2020-01,1667,447,250,46,41,14,22,0,15,15,47,0,12,26,46,250,86,56,259,25,20,3,13,135,43,9,101,50,22,673,481,229,212
11203,2020-01,1816,142,74,342,125,15,3,0,0,4,19,0,42,214,342,74,11,11,101,11,8,14,23,156,31,49,34,37,3,474,697,494,111
11204,2020-01,1500,97,343,83,51,4,1,0,0,1,37,0,33,145,83,343,8,16,59,8,6,11,16,148,19,6,22,13,1,621,327,371,167
11205,2020-01,1005,303,101,39,35,8,3,0,0,2,21,0,16,52,39,101,16,21,239,11,16,0,10,83,37,8,10,14,3,466,227,194,101
11206,2020-01,1726,488,106,130,69,20,13,0,2,4,26,0,15,86,130,106,35,99,304,35,15,8,16,144,37,30,20,33,13,687,474,294,225
11207,2020-01,2213,262,153,246,144,25,18,0,1,6,57,0,46,237,246,153,13,33,155,40,18,30,29,177,31,49,41,44,18,711,703,556,181
11208,2020-01,1806,157,157,205,113,20,3,0,2,4,45,0,32,224,205,157,8,7,120,7,15,10,21,134,37,36,37,31,3,581,566,477,148
11209,2020-01,2214,183,319,494,72,18,9,0,2,13,44,0,16,130,494,319,36,23,99,10,15,4,9,387,40,20,50,37,9,628,805,560,175
11210,2020-01,1381,184,162,127,81,19,9,0,2,2,9,0,27,153,127,162,15,7,151,7,4,6,19,136,15,28,27,28,9,521,395,362,66
11211,2020-01,2314,537,227,181,83,36,16,0,2,8,20,0,25,96,181,227,84,142,216,50,45,14,12,256,53,24,21,68,16,835,706,486,203
11212,2020-01,1698,251,88,398,94,16,9,0,1,5,29,0,16,138,398,88,5,14,220,6,6,19,24,69,22,47,16,35,9,545,715,275,119
11213,2020-01,1520,258,67,332,79,28,1,0,1,8,22,0,8,89,332,67,28,17,189,21,3,18,23,121,10,53,31,55,1,408,709,254,93
11214,2020-01,2077,206,428,296,73,14,4,0,1,15,32,0,27,220,296,428,19,7,161,8,11,5,14,188,19,21,51,40,4,905,591,415,122
11215,2020-01,1993,181,213,85,73,14,15,0,5,10,17,0,16,50,85,213,46,63,33,22,17,2,5,523,40,19,54,37,15,428,534,760,219
11216,2020-01,1666,287,90,236,106,46,16,0,0,5,22,0,40,37,236,90,31,35,172,20,29,7,19,246,33,53,11,63,16,441,619,438,89
11217,2020-01,1296,181,268,53,39,9,10,0,8,7,12,0,11,36,53,268,50,30,65,18,18,2,3,202,44,6,9,19,10,460,322,350,135
11218,2020-01,1533,117,214,181,70,13,3,0,0,6,8,0,20,173,181,214,7,9,59,14,26,5,7,163,35,18,21,24,3,537,454,373,142
11219,2020-01,1500,85,145,102,61,15,1,0,1,2,19,0,40,111,102,145,14,6,54,3,8,10,9,290,30,17,19,21,1,392,348,531,207
11220,2020-01,1855,167,183,176,51,12,16,0,1,5,63,0,43,156,176,183,12,22,107,15,11,8,24,195,48,14,124,29,16,589,565,452,204
